A1HK2FQW6KXQB2	097293751X	5.0
A19K65VY14D13R	097293751X	5.0
A3OQEVD4C7G3L3	097293751X	4.0
A3O4ATU0ENBKTU	097293751X	5.0
AOWBZDNT7QAW0	097293751X	5.0
A2SYNL4YX73KNY	097293751X	3.0
A2Q2A6JKY95RTP	097293751X	3.0
A2VVPVI9BGYM7L	9729375011	5.0
A2EAJL3H6DPIPX	9729375011	5.0
A16WT9L1IC07EB	9729375011	5.0
A10GMDGFGN7QH2	9729375011	5.0
A2957UEBNR2HCI	9729375011	5.0
A2DUQ2FOQFGHX	9729375011	5.0
A3KNSA6AC8Y04P	9729375011	5.0
A3AB3L610KXQBF	9729375011	5.0
A1TFH58BMFJCR3	9729375011	5.0
AXEEHEUKQILR0	9729375011	4.0
AWLRK9A9L8RZG	9729375011	4.0
A2DJPFHG6LGWTV	9729375011	4.0
A1OG2X4KR2U1GE	9729375011	5.0
A3EG1F4UBURE6O	9729375011	5.0
A2XDQLKDWBDWAJ	9729375011	5.0
A2PEIERQZR3COP	9729375011	5.0
A34JA6VX47JLS1	9729375011	5.0
A10STX704CY2IH	9729375011	5.0
A3K43QC9YZKVTH	9729375011	5.0
A35MDIBPAX9X7U	9729375011	5.0
A190YSZV06NQ2Q	9729375011	5.0
A2L3NFDM1PTOX3	9729375011	5.0
A36OZM5CENQ7LW	B00000IZQI	5.0
A2XUQN9HUD6ISG	B00000IZQI	5.0
API5JLBRT6FIN	B00000IZQI	5.0
A1DNWA98IV5PMW	B00000IZQI	5.0
AFM7DWQ762149	B00000IZQI	5.0
A3DETJ3SIGHPWI	B00000IZQI	5.0
A3E06BCCD0AU7B	B00000IZQI	5.0
A1XB0T39BRR6US	B00000J3LL	5.0
A2PZ6W3HHMN7X4	B00000J3LL	4.0
A1I6Y22YMN96QW	B00000J3LL	5.0
A1HLB4YYHBKVEE	B00000J3LL	5.0
A2EP68HH1PXAN3	B00000J3LL	4.0
AWLRK9A9L8RZG	B00002JV9S	3.0
A38CJDC0M54EEE	B00002JV9S	4.0
AAOC8UAMDDLON	B00002JV9S	5.0
A3AVIKJLVMPJ8K	B00002JV9S	5.0
A3QIB8PLHCD80N	B00002JV9S	5.0
