A32T2H8150OJLU	B00000JBLH	5.0
A3MAFS04ZABRGO	B00000JBLH	5.0
A1F1A0QQP2XVH5	B00000JBLH	2.0
A49R5DBXXQDE5	B00000JBLH	5.0
A2XRMQA6PJ5ZJ8	B00000JBLH	5.0
A2JFOHC9W629IE	B00000JBLH	5.0
A38NELQT98S4H8	B00000JBLH	5.0
AA8M6331NI1EN	B00000JBLH	5.0
A25C2M3QF9G7OQ	B00000JBLU	5.0
A1RTVWTWZSIC94	B00000JBLU	5.0
A30U2QQN2FFHE9	B00000JBLU	5.0
A2W0XCWOK3MW6F	B00000JBLU	5.0
AGBFIQMV9L61Y	B00000JBLU	5.0
A2R6RA8FRBS608	B00000JBLU	5.0
A2A1XYSB692L6J	B00000JBLU	4.0
A4XCTN5YLC89U	B00000JBLU	5.0
A1LYT85S93HUNY	B00000JBLU	5.0
A2ZM9BGE3K3SY2	B00000JBNX	5.0
A1L9E4OA926W9B	B00000JBNX	4.0
A2C1Y5F8DE9H6P	B00000JBNX	5.0
A3DOPYDOS49I3T	B00000JBNX	4.0
A1Z54EM24Y40LL	B00000JBNX	5.0
A1TS45JWJVOSSW	B00000JBNX	5.0
A2GL70AZ8MWXI3	B00000JBNX	5.0
A1QI6PI0HH4H0P	B00000JBNX	5.0
A1RTVWTWZSIC94	B00000JBNX	3.0
A3DWENW34NQEAV	B00000JBNX	5.0
A21TCOLZEFE1AQ	B00000JBNX	5.0
A3SYP5JOEHUWDU	B00000JBNX	5.0
A6KL17KKN0A5L	B00000JBNX	5.0
A2YAIK7WVZ8VMK	B00000JBNX	5.0
A1SYLII0808HD6	B00000JBNX	4.0
A39UA5WK18IY01	B00000JBNX	1.0
A3U16LITWT2PQJ	B00000JBNX	5.0
A8WAYVOKYBLO6	B00000JBNX	3.0
A3NG7X4APIV649	B00000JBNX	5.0
A36OT34BWUV59E	B00000JBNX	5.0
AOUM75FA941HX	B00000JBNX	2.0
AO9X6644SGODF	B00000JBNX	5.0
A3LZA698SQPCXE	B00000JBNX	5.0
AMQ1MEG334SAP	B00000JBO8	1.0
A346MAIT1GXHOH	B00000JBO8	5.0
A304GUEPCPYM3Z	B00000JBO8	4.0
AN81JUYW2SL24	B00000JBO8	2.0
A2Z9S2RQD542CP	B00000JBO8	5.0
A2PWUD5ZM4VHGT	B00000JBO8	5.0
A39XUL8UWT40I5	B00000JBO8	5.0
A21ZXZI37EP1N7	B00000JBO8	5.0
A3RRWUZU333R49	B00000JBO8	5.0
A3QMJMTLJC34QC	B00000JBO8	4.0
A1AC1ZXX9IBCTT	B00000JFNV	5.0
A1P2XYD265YE21	B00000JFNV	5.0
A2JXCOUGYS5Y4J	B00000JFNV	4.0
A1FLQM52V9YV94	B00000JFNV	4.0
A28ZDVY6NV75P	B00000JFNV	5.0
A2FRFAQCWZJT3Q	B00000JFNV	5.0
AY3XPKRAMKKY7	B00000JFNV	5.0
APOGXH3A74CM3	B00000JFNV	5.0
AZD8SMNGQI98O	B00000JFNV	5.0
A55PCTJ6NINET	B00000JFNV	5.0
A12XDEMP7PQPDT	B00000JFNV	3.0
A1X2LENOF84LCQ	B00000JFNV	5.0
A11XT24G3PZ8CQ	B00000JFNV	5.0
A1IM4D3R61A2K0	B00000JFNV	5.0
ANHL7BB84WJMF	B00000JFNV	5.0
A3IR834T7AROBT	B00000JFNV	5.0
A2XU6J41ZQOJ2V	B00000JFNV	5.0
A286YO5OCIB9ZQ	B00000JFNV	5.0
A3M6KV5PDU46YI	B00000JFNV	4.0
AB094YABX21WQ	B00000JFNV	5.0
A2BVNVJOFXGZUB	B00000JFNV	5.0
A34CSXOGVYF94S	B00000JFNV	4.0
A1QQDHM5YMLQ8Z	B00000JFNV	5.0
A3D9NUCR4RXDPY	B00000JFNV	4.0
A3S0LG7590F4MG	B00000JFNV	5.0
AF74UAKV3Q3W0	B00000JFNV	5.0
API5JLBRT6FIN	B00000JFNV	4.0
A2W0XCWOK3MW6F	B00000JFNV	5.0
AZ8XSDMIX04VJ	B00000JFNV	5.0
A16AXQ11SZA8SQ	B00000JFNV	5.0
AH9MUK2Z52V6N	B00000JFNV	5.0
A1ONZ8JRPLBNUI	B00000JFNV	4.0
A1E1L1OJZQI3OO	B00000JFNV	5.0
A3UKWQS8SRW6IO	B00000JFNV	4.0
A3EPJSPH03AS29	B00000JFNV	5.0
A3UC3YT2E65LZO	B00000JFNV	4.0
A2NNH35DIY658	B00000JFNV	5.0
A140ICK18NAAYR	B00000JFNV	5.0
A1V31KX83H4M18	B00000JFNV	5.0
A3FS3FJPD3RJTD	B00000JFNV	5.0
A2I4A4WGWII18Z	B00000JFNV	5.0
AD1ZOPB0BBEHB	B00000JFNV	5.0
AZBXKUH4AIW3X	B00000JFNV	4.0
A58N07M0ZCYMB	B00000JFNV	5.0
A19FRW264WZTGP	B00000JZKB	5.0
A304GUEPCPYM3Z	B00000JZKB	5.0
A10JPZAYDGFHEV	B00000JZKB	4.0
A8LEFDO3AKIJP	B00000JZKB	4.0
AIKGBCYBXVH8I	B00000JZKB	4.0
A2L9XBP14SK6IU	B00000JZKB	5.0
A3KFYXEYRE7CP4	B00000JZKB	3.0
A1WZCR9781A5P1	B00000JZKB	5.0
A3MAFS04ZABRGO	B00000JZKB	4.0
A3GNRMHCTL5K3U	B00000JZKB	1.0
A2PQUL8TI4P4HV	B00000JZKB	4.0
A2FIC05DY3HT7J	B00000JZKB	2.0
A24P4E3RJ6AX94	B00000JZKB	5.0
ACGTYE5R2EXVF	B00000JZKB	5.0
A11I1I9QLMAM1A	B00000JZKB	5.0
A13WBUX01Q4D35	B00000K3T0	5.0
A3NHUQ33CFH3VM	B00000K3T0	5.0
AQJMBQN2ZPAU1	B00000K3T0	5.0
